id,compound_name,is_super,slug,properties_count,image_url,min_price,max_price,min_unit_area,max_unit_area,available_bathrooms,available_bedrooms,developer_id,developer_name,developer_logo,area_id,area_name,sponsored,max_installment_years,min_down_payment,min_ready_by,properties_ids,sum_10_properties_min_price,lat,long,has_offer,has_launches,is_launch,offer_title,limited_time_offer,property_types,property_types_count
1036,Continental Residence,False,1036-continental-residence,2,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound/cover_image/1036/Screenshot_20230921_141106.jpg,7687500,8000000,215,266,[5],[5],335,Al Moez Holding Group,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/335/Screenshot_20230921_130611.jpg,26,El Sheikh Zayed,0,0,0,2023-09-23,"[41332, 41978]",15687500,30.0491629,30.9761599,False,False,False,,True,"['Villa', 'Townhouse']","[{'id': 1, 'name': 'Villa', 'count': 1, 'total': 1, 'rank': 2}, {'id': 7, 'name': 'Townhouse', 'count': 1, 'total': 1, 'rank': 4}]"
152,West Hills,,152-west-hills,1,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/736/medium_jvveYcco85OwzGAQn0NnbUe6oHOWOg.jpg,8000000,8000000,268,268,[3],[3],13,Inertia Egypt,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/13/qt9JXECoWdXbAyWBoBEsovibdGSZxPplaceholder-.jpg,1,6th of October City,0,0,0,2022-08-28,[19930],8000000,30.0044913,31.0770929,False,False,False,,True,['Duplex'],"[{'id': 3, 'name': 'Duplex', 'count': 1, 'total': 1, 'rank': 5}]"
171,The Greek Village Marassi,False,171-the-greek-village-marassi,3,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/893/medium_undUCq4yUaPORsmOGsZOez9BSLxnzK.jpg,8000000,15000000,72,210,"[1, 2, 3]","[1, 2, 3]",4,Emaar Misr,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/4/Emaar.jpg,3,North Coast,0,6,0,2023-05-31,"[19978, 33162, 33870]",32737500,30.97806899,28.73771851,False,False,False,,True,['Chalet'],"[{'id': 5, 'name': 'Chalet', 'count': 3, 'total': 3, 'rank': 7}]"
15,El Patio Zahraa,False,15-el-patio-zahraa-sheikh-zayed,2,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/609/medium_kTXJeSrqNZTpOKhOLq0ciATJ0Lkc18.jpg,8200000,10500000,210,225,"[3, 4]","[2, 4]",11,La Vista Developments,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/11/ha37omIwGwNK9GdjTqmLdjCqr7yL3kdev.jpg,1,6th of October City,0,,0,2023-07-16,"[38264, 40602]",18700000,30.08016234,30.97802658,False,False,False,,True,"['Twinhouse', 'Townhouse']","[{'id': 6, 'name': 'Twinhouse', 'count': 1, 'total': 1, 'rank': 3}, {'id': 7, 'name': 'Townhouse', 'count': 1, 'total': 1, 'rank': 4}]"
17,La Vista Bay,False,17-la-vista-bay,3,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/481/medium_a3lPjRHJoESXazaxIviR1YPgnDGV4l.jpg,8200000,24000000,150,220,"[2, 3]","[3, 4]",11,La Vista Developments,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/11/ha37omIwGwNK9GdjTqmLdjCqr7yL3kdev.jpg,3,North Coast,0,,0,2023-05-13,"[35451, 38261, 38322]",40700000,31.06853698,28.36008619,False,False,False,,True,"['Twinhouse', 'Penthouse', 'Chalet']","[{'id': 6, 'name': 'Twinhouse', 'count': 1, 'total': 1, 'rank': 3}, {'id': 4, 'name': 'Penthouse', 'count': 1, 'total': 1, 'rank': 6}, {'id': 5, 'name': 'Chalet', 'count': 1, 'total': 1, 'rank': 7}]"
910,Park View,False,910-park-view,2,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/6837/medium_56547264_2303676119906744_2931379664158982144_n.jpg,8200000,10000000,175,270,[3],[3],22,Hassan Allam Properties,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/22/wUt0R6u20LUvrDjGQ3suz35ZAspNQoScreen-Shot-2018-02-15-at-9.58.43-AM-750x370.png,2,New Cairo,0,,0,2022-11-21,"[27855, 42141]",18200000,30.01975992,31.5335083,False,False,False,,True,"['Apartment', 'Duplex']","[{'id': 21, 'name': 'Apartment', 'count': 1, 'total': 1, 'rank': 1}, {'id': 3, 'name': 'Duplex', 'count': 1, 'total': 1, 'rank': 5}]"
939,Telal East,False,939-telal-east,3,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/5934/medium_telal_east_1.png,8300000,15102760,233,287,"[3, 4]",[3],25,Roya Developments,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/25/roya_devel.png,2,New Cairo,0,8,1747000,2026-05-01,"[38258, 42226, 42394]",33402760,30.0733325,31.6008445,False,False,False,,True,"['Townhouse', 'Duplex']","[{'id': 7, 'name': 'Townhouse', 'count': 1, 'total': 1, 'rank': 4}, {'id': 3, 'name': 'Duplex', 'count': 2, 'total': 2, 'rank': 5}]"
793,Lac Ville,False,793-lac-ville,3,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/7142/medium_Lac-Ville-Compound.jpg,8500000,10250000,290,310,[3],[3],241,El Gabry Developments,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/241/el_gabry.jpg,26,El Sheikh Zayed,0,4,0,2023-08-20,"[39695, 39705, 39706]",18750000,30.06671698,30.96084595,False,False,False,,True,"['Villa', 'Twinhouse']","[{'id': 1, 'name': 'Villa', 'count': 1, 'total': 1, 'rank': 2}, {'id': 6, 'name': 'Twinhouse', 'count': 2, 'total': 2, 'rank': 3}]"
235,Marina Marassi,False,235-marina-marassi,6,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/1349/medium_tvtlXpaBei2zg6PW8RUEXDwvfQ9uyR.jpg,8600000,37500000,72,288,"[1, 2, 3]","[1, 2, 3]",4,Emaar Misr,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/4/Emaar.jpg,3,North Coast,0,8,0,2023-01-09,"[29176, 36108, 36199, 37907, 38612, 40262]",124547500,30.98007425,28.74280398,False,False,False,,True,"['Chalet', 'Studio']","[{'id': 5, 'name': 'Chalet', 'count': 5, 'total': 5, 'rank': 7}, {'id': 9, 'name': 'Studio', 'count': 1, 'total': 1, 'rank': 8}]"
20,Casa,,20-casa,1,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/186/medium_lY2UiOCH9f4TepaLAzf0ZdQfczaIACCoverPhoto-.jpg,8712500,8712500,257,257,[6],[4],8,SODIC,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/8/Sodic.jpg,1,6th of October City,0,,0,2023-04-26,[34836],8712500,30.06641989,30.95889332,False,False,False,,True,['Penthouse'],"[{'id': 4, 'name': 'Penthouse', 'count': 1, 'total': 1, 'rank': 6}]"
25,Kattameya Plaza,,25-kattameya-plaza,1,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/194/medium_i4VqrCfKAIUmPOQ5DA16tP0YMzvYovIMG_9329.jpg,8917500,8917500,230,230,[3],[3],8,SODIC,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/8/Sodic.jpg,2,New Cairo,0,0,0,2023-06-03,[36597],8917500,30.03634864,31.49059503,False,False,False,,True,['Apartment'],"[{'id': 21, 'name': 'Apartment', 'count': 1, 'total': 1, 'rank': 1}]"
12,Lake View Residence,,12-lake-view-residence,2,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/691/medium_FWq2evd9Z036HK8znsPDUHo4dh4tcc.jpg,9225000,11300000,181,215,"[3, 4]",[3],10,El Hazek,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/10/rPnmibIb6qNg2ylP5P8Gw1klT7rJdaLogo.jpg,2,New Cairo,0,9,2107170,2023-06-06,"[36740, 39100]",20525000,30.02511144,31.53569129,False,False,False,,True,['Apartment'],"[{'id': 21, 'name': 'Apartment', 'count': 2, 'total': 2, 'rank': 1}]"
877,Solana,False,877-ora-new-zayed,8,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound/cover_image/877/so2.png,9295200,22662175,126,240,"[3, 4, 6]","[2, 3, 4]",85,Ora Developers,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/85/Ora.jpg,26,El Sheikh Zayed,0,9,0,2025-12-31,"[40990, 42183, 42325, 42337, 42338, 42346, 42367, 42423]",105734700,30.03797693,30.85132701,False,False,False,,True,"['Apartment', 'Villa']","[{'id': 21, 'name': 'Apartment', 'count': 7, 'total': 7, 'rank': 1}, {'id': 1, 'name': 'Villa', 'count': 1, 'total': 1, 'rank': 2}]"
187,Cairo Festival City,True,187-cairo-festival-city,8,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/1044/medium_LmwdCUCchBvWlvw1aJzL6b0o3htnfD.jpg,9500000,80000000,137,682,"[2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 6]",23,Al-Futtaim Group Real Estate,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/23/I1ukmRZ2xSpQ9ZDCYI15q7ahiUnt0w254353_el2ytQ_bfront.jpg,2,New Cairo,0,0,0,2022-05-30,"[15364, 15418, 20139, 29467, 36831, 40257, 41042, 41047]",285200000,30.03089505,31.41366,False,False,False,,True,"['Apartment', 'Villa']","[{'id': 21, 'name': 'Apartment', 'count': 3, 'total': 3, 'rank': 1}, {'id': 1, 'name': 'Villa', 'count': 5, 'total': 5, 'rank': 2}]"
230,JEDAR,False,230-jedar,3,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/1310/medium_1yLteTOipcgiozgp4snWsme6XsnSww.jpg,9500000,20000000,254,430,[4],"[3, 4, 5]",71,IWAN Developments,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/71/iwan_dev.jpg,1,6th of October City,0,0,0,2023-07-12,"[38091, 40979, 41794]",29500000,30.0056193,30.9937902,False,False,False,,True,"['Villa', 'Twinhouse']","[{'id': 1, 'name': 'Villa', 'count': 1, 'total': 1, 'rank': 2}, {'id': 6, 'name': 'Twinhouse', 'count': 2, 'total': 2, 'rank': 3}]"
74,Telal - North Coast,False,74-telal-north-coast,5,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/443/medium_TBW5Max2FIYHcZQ1cRNzVQNBCvLkQa.jpg,9512397,35000000,112,345,"[3, 4, 5, 9]","[2, 5, 7]",25,Roya Developments,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/25/roya_devel.png,3,North Coast,0,4,0,2022-03-31,"[13001, 30228, 35776, 37520, 40971]",125887397,31.01004371,28.6065406,False,False,False,,True,"['Villa', 'Chalet']","[{'id': 1, 'name': 'Villa', 'count': 4, 'total': 4, 'rank': 2}, {'id': 5, 'name': 'Chalet', 'count': 1, 'total': 1, 'rank': 7}]"
680,Villino,False,680-villino,1,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/7081/medium_Capture_1.PNG,9737000,9737000,310,310,[4],[4],273,Raslan Group,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/273/Raslan-Logo.png,2,New Cairo,0,,0,2022-03-08,[12197],9737000,30.00727392,31.49162292,False,False,False,,True,['Twinhouse'],"[{'id': 6, 'name': 'Twinhouse', 'count': 1, 'total': 1, 'rank': 3}]"
138,El Patio 6 October,,138-el-patio-6-october,1,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/compound_image/image/719/medium_YLgjEw5qYH3XY0Q1LFUNyUefiqdMDs.jpg,9737500,9737500,220,220,[4],[4],11,La Vista Developments,https://s3.eu-central-1.amazonaws.com/prod.images.cooingestate.com/admin/developer/logo_image/11/ha37omIwGwNK9GdjTqmLdjCqr7yL3kdev.jpg,1,6th of October City,0,,0,2023-09-23,[41428],9737500,29.98500441,31.07412307,False,False,False,,True,['Villa'],"[{'id': 1, 'name': 'Villa', 'count': 1, 'total': 1, 'rank': 2}]"
